5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-1,-1,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
5,5,5,5,5,2,-1,12,14,-1,12,14,-1,12,14,-1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
8,5,5,5,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,5,5,5,5,10,-1,-1,7,-1,-1,8,5,10,-1,-1,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,-1,-1,-1,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,9,10,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,8,10,-1,-1,7
-1,-1,-1,-1,-1,-1,-1,-1,0,5,5,5,5,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,4
-1,-1,-1,-1,-1,-1,0,5,-1,3,-1,-1,-1,3,-1,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,14,-1,-1,0,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,0,5
5,5,5,5,5,5,-1,7,-1,7,-1,-1,-1,7,-1,7,-1,5,5,5,5,2,-1,12,14,-1,-1,-1,-1,12,14,-1,-1,-1,-1,-1,-1,14,-1,-1,15,-1,15,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,0,5,5,5,5,5
5,5,5,5,5,5,-1,11,-1,11,-1,-1,-1,11,-1,11,-1,5,5,5,5,5,-1,-1,-1,-1,12,5,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,14,-1,-1,-1,-1,12,14,-1,4,-1,-1,8,5,5,5
